time_diff_hours,forecast Δt (hours),"average Δ(snow), cm"
125,125,0.39285714285714285
123,123,0.034482758620689655
121,121,0.7777777777777778
119,119,0.5862068965517241
117,117,-0.07407407407407407
115,115,0.5357142857142857
113,113,0.5
111,111,0
109,109,0.32
107,107,0.5517241379310345
105,105,-0.03571428571428571
103,103,0.6785714285714286
101,101,0.2692307692307692
99,99,0.06896551724137931
97,97,0.5185185185185185
95,95,0.6206896551724138
93,93,0.07692307692307693
91,91,1.1428571428571428
89,89,0.6071428571428571
87,87,-0.10344827586206896
85,85,0.4166666666666667
83,83,0.6896551724137931
81,81,-0.03571428571428571
79,79,0.8214285714285714
77,77,0.2
75,75,-0.034482758620689655
73,73,0.6666666666666666
71,71,0.6206896551724138
69,69,-0.24
67,67,0.7857142857142857
65,65,0.35714285714285715
63,63,0.034482758620689655
61,61,-0.13043478260869565
59,59,0.27586206896551724
57,57,0.03571428571428571
55,55,0.5
53,53,0
51,51,0.10344827586206896
49,49,0.7777777777777778
47,47,0.4827586206896552
45,45,0
43,43,0.7857142857142857
41,41,0.4642857142857143
39,39,0.1724137931034483
37,37,-0.09090909090909091
35,35,0.4827586206896552
33,33,0.14285714285714285
31,31,0.25
29,29,0.17391304347826086
27,27,0.1724137931034483
25,25,0.5555555555555556
23,23,0.3448275862068966
21,21,0.043478260869565216
19,19,0.39285714285714285
17,17,0.14285714285714285
15,15,-0.034482758620689655
13,13,0
11,11,0.034482758620689655
9,9,0
7,7,0.034482758620689655
5,5,-0.045454545454545456
3,3,0
1,1,0
-1,-1,0
-3,-3,0
